"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"2020-12-05  17:20:00,000","    74670000","-112,9","   6,9","-129,5","-105,1","20",
"2020-12-05  17:20:00,000","    74675000","-113,0","   7,5","-137,0","-104,5","20",
"2020-12-05  17:20:00,000","    74680000","-112,3","   5,0","-120,9","-104,6","20",
"2020-12-05  17:20:00,000","    74685000","-112,7","   5,3","-123,3","-102,8","20",
"2020-12-05  17:20:00,000","    74690000","-114,8","   7,0","-134,7","-105,7","20",
"2020-12-05  17:20:00,000","    74695000","-113,3","   6,4","-128,6","-105,9","20",
"2020-12-05  17:20:00,000","    74700000","-112,8","   8,2","-142,9","-103,5","20",
"2020-12-05  17:20:00,000","    74705000","-113,8","   7,0","-129,0","-104,1","20",
"2020-12-05  17:20:00,000","    74710000","-112,8","   4,6","-122,1","-106,4","20",
"2020-12-05  17:20:00,000","    74715000","-113,6","   5,3","-131,5","-107,9","20",
"2020-12-05  17:20:00,000","    74720000","-116,0","   6,1","-127,2","-106,8","20",
"2020-12-05  17:20:00,000","    74725000","-113,1","   4,2","-119,4","-105,6","20",
"2020-12-05  17:20:00,000","    74730000","-112,7","   3,8","-119,9","-106,1","20",
"2020-12-05  17:20:00,000","    74735000","-112,5","   4,3","-119,4","-102,1","20",
"2020-12-05  17:20:00,000","    74740000","-111,5","   5,8","-125,9","-102,5","20",
"2020-12-05  17:20:00,000","    74745000","-110,9","   5,1","-121,9","-103,3","20",
"2020-12-05  17:20:00,000","    74750000","-111,2","   6,1","-129,0","-103,6","20",
"2020-12-05  17:20:00,000","    74755000","-111,4","   3,6","-119,2","-105,2","20",
"2020-12-05  17:20:00,000","    74760000","-113,8","   4,8","-121,5","-106,8","20",
"2020-12-05  17:20:00,000","    74765000","-111,8","   4,5","-122,4","-105,9","20",
"2020-12-05  17:20:00,000","    74770000","-111,7","   4,3","-119,2","-105,0","20",
"2020-12-05  17:20:00,000","    74775000","-111,5","   4,0","-120,6","-104,8","20",
"2020-12-05  17:20:00,000","    74780000","-113,1","   5,0","-123,1","-106,3","20",
"2020-12-05  17:20:00,000","    74785000","-112,7","   3,8","-120,6","-106,1","20",
"2020-12-05  17:20:00,000","    74790000","-112,8","   4,0","-120,4","-105,5","20",
"2020-12-05  17:20:00,000","    74795000","-114,5","   5,3","-124,4","-104,6","20",
"2020-12-05  17:20:00,000","    74800000","-114,4","   6,8","-129,6","-105,8","20",
"2020-12-05  17:20:00,000","    74805000","-113,7","   4,3","-121,2","-106,9","20",
"2020-12-05  17:20:00,000","    74810000","-118,2","   9,0","-140,1","-107,5","20",
"2020-12-05  17:20:00,000","    74815000","-113,9","   4,4","-121,1","-104,7","20",
"2020-12-05  17:20:00,000","    74820000","-114,5","   6,9","-135,2","-105,2","20",
"2020-12-05  17:20:00,000","    74825000","-114,7","   5,5","-132,0","-105,8","20",
"2020-12-05  17:20:00,000","    74830000","-112,7","   5,3","-125,2","-104,6","20",
"2020-12-05  17:20:00,000","    74835000","-112,7","   5,1","-125,1","-102,7","20",
"2020-12-05  17:20:00,000","    74840000","-112,1","   4,0","-121,9","-106,4","20",
"2020-12-05  17:20:00,000","    74845000","-113,5","   5,3","-121,8","-103,4","20",
"2020-12-05  17:20:00,000","    74850000","-113,2","   6,1","-126,2","-103,5","20",
"2020-12-05  17:20:00,000","    74855000","-112,9","   6,9","-128,8","-103,1","20",
"2020-12-05  17:20:00,000","    74860000","-111,5","   4,8","-123,4","-104,2","20",
"2020-12-05  17:20:00,000","    74865000","-113,8","   6,5","-132,1","-107,2","20",
"2020-12-05  17:20:00,000","    74870000","-114,2","   4,1","-122,2","-108,4","20",
"2020-12-05  17:20:00,000","    74875000","-113,5","   5,2","-129,3","-105,9","20",
