"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"17/12/2020  14:23:00,000","    78000000"," -93,1","   6,6","-112,3"," -83,7","34",
"17/12/2020  14:23:00,000","    79000000"," -92,2","   5,4","-106,3"," -85,0","34",
"17/12/2020  14:23:00,000","    80000000"," -91,3","   4,5","-103,1"," -83,3","34",
"17/12/2020  14:23:00,000","    81000000"," -91,9","   5,8","-104,9"," -84,7","34",
"17/12/2020  14:23:00,000","    82000000"," -91,0","   5,1","-105,9"," -84,5","34",
"17/12/2020  14:23:00,000","    83000000"," -90,5","   4,3","-100,5"," -84,2","34",
"17/12/2020  14:23:00,000","    84000000"," -91,1","   5,7","-108,7"," -84,6","34",
"17/12/2020  14:23:00,000","    85000000"," -93,0","   5,5","-110,8"," -83,4","34",
"17/12/2020  14:23:00,000","    86000000"," -92,1","   5,3","-112,0"," -84,6","34",
"17/12/2020  14:23:00,000","    87000000"," -82,3","   2,6"," -90,2"," -78,5","34",
"17/12/2020  14:23:00,000","    88000000"," -75,8","   2,9"," -81,4"," -71,3","34",
"17/12/2020  14:24:00,000","    54000000"," -92,9","   5,3","-106,3"," -83,8","34",
"17/12/2020  14:24:00,000","    55000000"," -93,5","   4,9","-103,7"," -85,0","34",
"17/12/2020  14:24:00,000","    56000000"," -91,7","   4,1","-100,8"," -82,2","34",
"17/12/2020  14:24:00,000","    57000000"," -91,6","   5,5","-108,9"," -84,6","34",
"17/12/2020  14:24:00,000","    58000000"," -92,7","   5,4","-108,3"," -84,6","34",
"17/12/2020  14:24:00,000","    59000000"," -92,6","   4,7","-106,5"," -84,4","34",
"17/12/2020  14:24:00,000","    60000000"," -92,7","   5,1","-106,3"," -84,0","34",
"17/12/2020  14:24:00,000","    61000000"," -91,9","   6,5","-117,9"," -83,2","34",
"17/12/2020  14:24:00,000","    62000000"," -91,0","   6,1","-108,0"," -82,2","34",
"17/12/2020  14:24:00,000","    63000000"," -90,9","   6,2","-114,0"," -80,0","34",
"17/12/2020  14:24:00,000","    64000000"," -89,7","   4,3","-102,1"," -81,6","34",
